,dateSold,propertyType,lotAreaValue,address,imgSrc,price,bedrooms,unit,longitude,latitude,listingStatus,zpid,contingentListingType,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,listingSubType.is_FSBA
0,1658214000000,CONDO,0.0,"4100 Sedgewood Dr APT 302, Raleigh, NC 27612",https://photos.zillowstatic.com/fp/e40ad4cf9a6d041b2ef89ef5255d11ed-p_e.jpg,275000,2.0,Apt 302,-78.71629,35.835453,RECENTLY_SOLD,132171583,,-1,2.0,1063.0,USA,USD,sqft,True,
1,1658214000000,TOWNHOUSE,0.0,"3722 Jamestown Cir, Raleigh, NC 27609",https://photos.zillowstatic.com/fp/987614c5b11186e08564b6caa25fc033-p_e.jpg,317000,2.0,,-78.63442,35.830986,RECENTLY_SOLD,132222436,,-1,2.0,1120.0,USA,USD,sqft,True,
2,1658214000000,SINGLE_FAMILY,7840.8,"7520 Poplar Meadow Ln, Raleigh, NC 27616",https://photos.zillowstatic.com/fp/e79d47c83133bf3ba8cca2852e83cf52-p_e.jpg,505000,4.0,,-78.512024,35.83769,RECENTLY_SOLD,215484338,,-1,3.0,2674.0,USA,USD,sqft,True,
3,1658214000000,SINGLE_FAMILY,1.08,"4801 Leone Landing Ct, Raleigh, NC 27603",https://photos.zillowstatic.com/fp/8ee71db383a5af2316f67e998ead8d7e-p_e.jpg,462000,3.0,,-78.69256,35.64936,RECENTLY_SOLD,53460676,,-1,3.0,1540.0,USA,USD,acres,True,
4,1658214000000,SINGLE_FAMILY,5227.2,"602 E Lane St, Raleigh, NC 27601",https://photos.zillowstatic.com/fp/6fd40082a531b78108692d2f1764fe69-p_e.jpg,1160000,3.0,,-78.63027,35.78334,RECENTLY_SOLD,6401045,,-1,3.0,2456.0,USA,USD,sqft,True,
5,1658214000000,SINGLE_FAMILY,0.33,"2414 Medway Dr, Raleigh, NC 27608",https://photos.zillowstatic.com/fp/8e1e413e7b2f91d893b8e2e141d4e922-p_e.jpg,736842,3.0,,-78.63664,35.812317,RECENTLY_SOLD,6429732,,-1,3.0,2201.0,USA,USD,acres,True,
6,1658214000000,SINGLE_FAMILY,1.36,"8729 Fort Macon Ct, Raleigh, NC 27615",https://photos.zillowstatic.com/fp/012e4c4204b5e405410ce90ae6257669-p_e.jpg,860000,4.0,,-78.67654,35.90884,RECENTLY_SOLD,6451530,,-1,3.0,3153.0,USA,USD,acres,True,
7,1658214000000,TOWNHOUSE,871.2,"5724 Three Oaks Dr, Raleigh, NC 27612",https://photos.zillowstatic.com/fp/b5630255167248ec09360ef411c3d454-p_e.jpg,265000,2.0,,-78.664856,35.85637,RECENTLY_SOLD,6458696,,-1,2.0,1400.0,USA,USD,sqft,True,
8,1658214000000,TOWNHOUSE,1306.0,"5628 Darrow Dr, Raleigh, NC 27612",https://photos.zillowstatic.com/fp/cf5eaa6a44729ecfce4e992959a92e38-p_e.jpg,275000,2.0,,-78.71031,35.852673,PENDING,6491813,,-1,3.0,1271.0,USA,USD,sqft,True,True
9,1658214000000,TOWNHOUSE,1306.8,"4637 Fawnbrook Cir, Raleigh, NC 27612",https://photos.zillowstatic.com/fp/c8e52092f8c929ac24ecb480d38e2f4b-p_e.jpg,305000,2.0,,-78.71758,35.836277,RECENTLY_SOLD,6504799,,-1,3.0,1224.0,USA,USD,sqft,True,
